pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,93,93,269778,269663,269685,36.6,0,4046,LARGE,67
1,173,177,267872,267682,267699,37.0,4,3933,MEDiUM,69
2,218,221,156243,156013,156025,47.8,3,1625,MEDiUM,97
3,409,413,220375,219955,219966,43.5,4,2521,MEDiUM,88
4,427,431,237257,236820,236830,41.6,4,2834,MEDiUM,84
5,448,451,220379,219922,219931,43.5,3,2521,MEDiUM,88
6,614,617,254063,253440,253449,39.2,3,3321,MEDiUM,77
7,673,673,274702,274023,274029,35.5,0,4463,LARGE,62
8,679,681,196359,195673,195680,45.2,2,2154,MEDiUM,91
9,683,685,238987,238298,238304,41.3,2,2870,MEDiUM,84
10,739,741,257875,257129,257136,38.7,2,3469,MEDiUM,75
11,747,747,141641,140890,140894,48.2,0,1453,MEDiUM,97
12,900,900,213811,212907,212911,43.9,0,2415,MEDiUM,89
13,1179,1179,275092,273909,273913,35.4,0,4516,LARGE,61
14,1228,1230,241265,240031,240037,41.0,2,2921,MEDiUM,83
15,1318,1320,201691,200367,200373,44.9,2,2230,MEDiUM,90
16,1440,1440,232299,230855,230859,42.1,0,2736,MEDiUM,85
17,1555,1555,132883,131324,131328,48.6,0,1354,MEDiUM,97
18,1697,1699,107055,105352,105358,48.7,2,1079,MEDiUM,98
19,1707,1708,223817,222106,222110,42.9,1,2580,MEDiUM,87
20,1813,1813,258699,256883,256886,38.6,0,3502,MEDiUM,74
21,1907,1907,275822,273910,273915,35.1,0,4729,LARGE,58
22,1920,1921,166123,164199,164203,47.0,1,1747,MEDiUM,94
23,1968,1969,265892,263919,263924,37.5,1,3831,MEDiUM,69
24,2107,2107,274975,272863,272868,35.4,0,4499,LARGE,61
25,2315,2315,275747,273424,273432,35.2,0,4698,LARGE,59
26,2349,2349,271116,268763,268767,36.4,0,4135,LARGE,65
27,2356,2357,234081,231721,231725,42.0,1,2770,MEDiUM,84
28,2416,2417,239609,237189,237193,41.3,1,2883,MEDiUM,83
29,2632,2633,174093,171457,171461,46.7,1,1849,MEDiUM,93
30,2791,2791,129593,126799,126802,48.7,0,1318,MEDiUM,97
31,2829,2829,273539,270707,270710,35.9,0,4337,LARGE,63
32,2924,2925,254791,251863,251867,39.3,1,3346,MEDiUM,76
33,2992,2993,273381,270385,270389,36.0,1,4322,LARGE,63
34,3277,3277,263177,259897,259900,38.1,0,3700,MEDiUM,71
35,3292,3293,204513,201217,201221,44.8,1,2271,MEDiUM,89
36,3338,3339,109299,105957,105961,49.2,1,1102,MEDiUM,97
37,3460,3461,208343,204879,204883,44.6,1,2329,MEDiUM,88
38,3985,3985,275202,271210,271217,35.6,0,4541,LARGE,60
39,4172,4173,225413,221237,221241,43.1,1,2608,MEDiUM,85
40,4341,4341,276097,271743,271756,35.2,0,4993,LARGE,55
41,4532,4532,159675,155140,155143,48.0,0,1666,MEDiUM,94
42,4552,4552,182229,177674,177677,46.6,0,1957,MEDiUM,91
43,4669,4670,103281,98608,98612,49.9,1,1040,MEDiUM,95
44,4700,4700,268192,263489,263492,37.4,0,3948,MEDiUM,67
45,4770,4770,148841,144068,144071,48.6,0,1536,MEDiUM,94
46,4789,4790,135543,130750,130754,49.2,1,1383,MEDiUM,95
47,4804,4804,178753,173946,173949,46.9,0,1910,MEDiUM,92
48,4927,4928,242851,237920,237924,41.2,1,2958,MEDiUM,81
49,4955,4956,245973,241014,241018,40.6,1,3036,MEDiUM,80
